A,B,C,D,Class
-1.2026585051949608,0.32466198598436247,0.741053022578686,-1.5831129372245978,1
-3.6710577422445603,-1.2911706959445475,-1.6380484079256765,-1.272242487199142,0
-0.7851380025047576,4.03320806588813,0.6212451722980024,-4.928067486816174,1
1.1964276133424847,0.9912087353259652,0.6336053501591722,-0.0756486436118482,1
1.1956534012256634,3.3839620268278003,-1.4190705803622365,-2.386325488675077,0
-1.9015918924367607,4.215673941697531,-0.6820745513771862,-1.2727402685883045,1
-1.2148806580796048,4.990778563785193,1.5415297207784155,-4.806826608024761,1
3.147550646224121,4.767417477730905,2.3006690221301485,-3.43541111191257,1
-0.725081495286809,3.6341433229432436,0.16831936224325084,-2.7496942751386824,1
0.7661602925453752,3.655585637738934,0.7337634595134936,-3.381294235867632,1
-3.1797424113582355,-1.5434901841904916,-3.5430144457276254,2.675308763163411,0
-1.4409268523069958,4.457542802381088,-0.024460010808430077,-0.48163534909488237,1
-0.6478616907771194,-0.22362867214676319,-1.5618442436878412,1.3833227338821965,0
1.7778114041690944,2.2080438205877804,2.9538724824623857,-3.1757953896014617,1
3.0701830951094684,1.8357002304408505,1.5795399988616112,-2.878065734487158,1
-4.399391738095067,0.0441192892817206,-3.6613411516971968,-1.240666108708906,0
5.322602319590416,4.44940961461902,2.438049113350024,-3.1844805518805614,1
-3.8495976220011863,0.5914507296420719,-1.439772474184821,-0.911429198963956,0
0.8723983278478774,0.7447229834639612,2.583528736835228,-1.8265595129085357,1
-2.668784172378277,-1.5091198244469202,1.0094281610682962,-0.39253353546822733,0
0.4841057496500495,2.6704884804739395,1.1631407800069313,-1.712349877068844,0
-0.08173013238302385,1.2994873104163653,-0.35495767548788365,-1.250399398889601,0
3.215665435668783,3.585446879367096,1.57283295489527,-3.324295787882006,1
-2.547811758103263,2.1035267212043136,-0.4494742239687308,-1.3258883517710802,1
0.47295871924169763,1.5733040417852984,-1.1285560784687607,-1.328404861346924,0
0.720235224063831,-0.5356174930331472,1.2754539489706558,-1.7705248050261246,1
-0.8936696914849181,1.332615968408943,-2.7272621060368993,-2.214298685509128,0
3.0771500848765,1.853054341820295,3.063520709640338,-2.4042650948297446,1
1.0216113644709235,-0.5271097841872152,1.8949034858227753,-1.852515858916955,1
-3.2009561245987848,0.5928264508145529,-2.3472836479071337,0.6608954708131514,0
-1.7511562753704637,1.8676888810646526,-2.614267909512004,-1.2766875263981132,0
-0.46547074431803503,5.524909674847304,1.1938561583864553,-3.1514610206131923,1
-1.4187053756451071,0.8974662640742284,1.389487093170676,-2.713246995704029,0
-1.559730825663377,1.2865569818964502,1.744845454767604,-2.9096005026795773,0
-2.795724405814256,0.2793840894864452,-3.756234691056459,0.10106997176342913,0
1.232585146389401,2.340795207037329,0.5874200330754109,-3.190558262464336,0
2.6855256142983848,4.710887379220926,1.085996945611829,-2.86405650659501,1
1.716656506094799,3.3314247200187284,0.17899158049501396,-4.508793370881239,1
